External ID,Name,Product Type,Internal Reference,Barcode,Sales Price,Cost,Weight,Sales Description,categ_id,website_published,public_categ_ids
0,TAZA BLANCA,Bienes,52152101,0,79,7044,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464224910,CAJA DECORADA NAVIDAD BOCHITO 7,Bienes,14111601,7500464224910,47,10,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464225245,CAJA DECORADA NAVIDAD RENO LA LA LA 5,Bienes,14111601,7500464225245,247,140,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464225252,CAJA DECORADA NAVIDAD SANTA ROCK 5,Bienes,14111601,7500464225252,1799,1299,9.54,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464225269,CAJA DECORADA NAVIDAD UNICORNIO 5,Bienes,14111601,7500464225269,89,79,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464225276,CAJA DECORADA NAVIDAD ESFERA ORO Y NEGRO 5,Bienes,14111601,7500464225276,320,260,0.33,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464225283,CAJA DECORADA NAVIDAD COPOS Y PINOS 5,Bienes,14111601,7500464225283,750,450,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464225290,CAJA DECORADA NAVIDAD ESFERAS DE COLORES 5,Bienes,14111601,7500464225290,450,300,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241306,CAJA DECORADA NAVIDAD PINO ESFERAS 5,Bienes,14111601,7500464241306,3645,3300,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241313,CAJA DECORADA NAVIDAD CACTUS 5,Bienes,14111601,7500464241313,147,98,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241320,CAJA DECORADA NAVIDAD PINO ORO 5,Bienes,14111601,7500464241320,12.5,18,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241337,CAJA DECORADA NAVIDAD BOCHITO 7,Bienes,14111601,7500464241337,85,78,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241344,CAJA DECORADA NAVIDEÃ‘A RENO LALALA 6,Bienes,14111601,7500464241344,25,20,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241351,CAJA DECORADA NAVIDEÃ‘A SANTA ROCK 7,Bienes,14111601,7500464241351,975,860,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241368,CAJA DECORADA NAVIDAD UNICORNIO 7,Bienes,14111601,7500464241368,1950,1700,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241382,CAJA DECORADA NAVIDEÃ‘A COPOS Y PINOS 7,Bienes,14111601,7500464241382,2100,2010,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241399,CAJA DECORADA NAVIDEÃ‘A ESFERAS COLORES 7,Bienes,14111601,7500464241399,885,876,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241405,CAJA DECORADA NAVIDEÃ‘A PINO ESFERAS 7,Bienes,14111601,7500464241405,2250,2000,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241412,CAJA DECORADA NAVIDEÃ‘A CACTUS 7,Bienes,14111601,7500464241412,850,800,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241429,CAJA DECORADA NAVIDEÃ‘A PINO ORO 7,Bienes,14111601,7500464241429,12.5,18,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464241498,CAJA DECORADA NAVIDAD ESFERAS NEGRO Y ORO 10,Bienes,14111601,7500464241498,4.5,2,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464242273,CAJA DECORADA NAVIDAD PIÃ‘ATA 5,Bienes,14111601,7500464242273,20,,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464242280,CAJA DECORADA NAVIDAD PIÃ‘ATA 10,Bienes,14111601,7500464242280,40,,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464242297,CAJA DECORADA NAVIDAD PINO ORO 10,Bienes,14111601,7500464242297,80,,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
7500464244802,CAJA DECORADA NAVIDAD VELAS 5,Bienes,14111601,7500464244802,180,,,,CAJA / NAVIDAD,TRUE,CAJA / NAVIDAD
783,EXHIBIDOR PROMOCION C/16 TARJETAS C/50PZS,Bienes,56131600,783,,,,,,TRUE,
907,EXHIBIDOR,Bienes,56131600,907,,,,,,TRUE,
909,BOLSAS CON LOGOTIPO UNA TINTA,Bienes,24111503,909,,,,,,TRUE,
911,TANQUE DE HELIO DE 6M3,Bienes,12142005,911,,,,,,TRUE,
913,GLOBOS,Bienes,60141001,913,,,,,GLOBOS,TRUE,GLOBOS
929,DECORACION DE EVENTO,Bienes,1010101,929,,,,,,TRUE,
971,INVITACION TODO COLOR C/10 PZAS,Bienes,14111611,971,,,,,,TRUE,
973,MUEBLE EXHIBIDOR CAPACIDAD 140 CAJAS,Bienes,56131600,973,,,,,,TRUE,
1031,"GLOBOS METALICOS 40"" EN FORMA DE NUMEROS",Bienes,60141001,1031,,,,,GLOBOS,TRUE,GLOBOS
1041,PRODUCTOS PARA ANIMACION DE FIESTAS,Bienes,,1041,,,,,,TRUE,
1090,ETIQUETA BOPP TRANSPARENTE CON LAMINADO 2.875'' X 10.875'' 1.5 LTS,Bienes,55121606,1090,,,,,,TRUE,
